Gene	seed_specificity
BCL2L2	1.0
ICAM1	1.0
C3AR1	0.77
HLA-G	0.52
CIR1	1.0
TAP2	1.0
TLN1	0.69
TNFRSF6B	0.63
AIFM1	0.88
RAB4A	0.91
C6	1.0
E2F2	0.5
CCNB2	0.6699999999999999
PARP3	1.0
CTSL	0.76
HLA-DQB1	1.0
USP7	0.61
KLRD1	0.96
RPS6KA1	0.83
TNFRSF13C	0.5700000000000001
RPS6KA4	0.96
IFNA1	0.22999999999999998
B2M	0.56
CLDN2	0.6599999999999999
TBC1D4	0.69
ACTN4	0.43999999999999995
TNFRSF10C	1.0
GRIK2	1.0
RAPGEF3	0.5
TNFRSF10D	0.95
TRAF5	0.5900000000000001
PDLIM4	1.0
VDAC1	0.89
PTTG2	0.8200000000000001
PTPN13	1.0
CD8A	0.91
BAK1	0.6599999999999999
CREB3L3	0.22999999999999998
CASP10	0.84
RAPGEF4	0.51
HLA-A	0.7
GCC2	1.0
LMNB2	1.0
SGK3	0.42000000000000004
CASP7	0.9299999999999999
ENDOG	1.0
MAP4K5	1.0
GRIA4	0.86
ESPL1	0.83
ELK4	0.43000000000000005
EGR2	0.5900000000000001
CTSK	0.8200000000000001
AIFM2	1.0
