Gene	seed_specificity
PLPP1	0.77
POLL	1.0
CAB39	1.0
IFNA1	0.22999999999999998
POLK	0.41000000000000003
ARPC5	0.75
DLL3	0.32999999999999996
GSDMD	0.64
GSTP1	0.31999999999999995
EGLN3	0.31999999999999995
ERRFI1	0.72
VEGFC	0.5700000000000001
KMT2D	1.0
RAD52	0.84
CYP2C9	0.78
TRAF1	0.25
EDNRB	0.33999999999999997
RTN4R	1.0
PGF	0.31999999999999995
PLA2G12B	0.98
CYTH3	0.79
CXCL16	0.53
ARPC1A	0.83
PTPN7	1.0
ARPC4	0.79
KLHL9	1.0
MCOLN1	1.0
CCN4	0.86
KIF7	1.0
PLA2G10	0.98
NR4A2	0.61
FANCG	0.84
ABL2	0.91
SSTR1	0.77
NLRC4	0.8
DTX1	0.9299999999999999
PRM1	1.0
FSCN1	1.0
FAN1	1.0
LIG4	1.0
GABBR2	0.83
ITPKA	0.98
MAP3K12	0.6
PRKAG3	0.98
SNX5	1.0
FGF10	0.6799999999999999
GSTA1	0.99
FCGR2A	0.9
MSH2	0.31000000000000005
BAK1	0.6599999999999999
TMOD3	1.0
REV1	1.0
MIOS	1.0
FOXO4	0.9299999999999999
CSRP2	1.0
VPS41	1.0
PLA2G4E	0.83
CXXC1	1.0
SESN1	1.0
PLA2G2A	0.5
PPP1R12B	0.45999999999999996
FGF5	0.63
GP1BB	0.85
FXYD1	1.0
EEA1	0.69
MCOLN2	1.0
GIPR	1.0
DECR1	0.99
GSTA5	1.0
FGF17	0.18000000000000005
EXOC1	1.0
HEY2	0.47
SOS2	0.49
MAPKAP1	1.0
DUSP5	1.0
NGLY1	1.0
APEX2	1.0
ARPC5L	0.72
ARHGEF6	0.63
NCOA4	0.32999999999999996
IGF2BP1	0.8200000000000001
PLSCR1	1.0
ELK1	0.52
NKX2-5	1.0
EHD1	1.0
DRD1	0.77
MAPK13	0.86
RICTOR	1.0
POLH	1.0
EXOC2	1.0
VPS25	1.0
EPS15	0.8200000000000001
DUSP2	0.53
IL18RAP	0.5
RCAN1	0.5800000000000001
ACAP1	1.0
CALM1	0.92
TRDN	1.0
SNX32	1.0
PLA2G5	0.71
PLA2G4D	1.0
PLCE1	0.88
BRK1	0.6799999999999999
EXOC3	1.0
CREB3L1	0.43000000000000005
FBXW7	1.0
EPS15L1	1.0
PDE10A	1.0
FANCB	1.0
RHOJ	1.0
PLA2G2C	0.98
APC2	0.09999999999999998
RRM2	0.9299999999999999
RFC5	0.96
PLPP2	1.0
AHNAK	0.76
ACTG1	0.6599999999999999
FGF1	0.31999999999999995
TFCP2	0.6
PLA2G3	1.0
MLKL	1.0
HES5	0.25
DDIT4	1.0
EXOC8	1.0
GNGT1	0.38
DUSP10	1.0
PFN1	0.73
CYP2E1	1.0
NPY1R	0.9
VPS36	1.0
VPS45	1.0
LPIN1	0.65
MYLK2	0.5800000000000001
PLA2G12A	0.99
CSF2RA	0.41000000000000003
TFDP2	0.69
EXOC4	1.0
AP2B1	1.0
FGF18	0.6
EHD3	1.0
ANLN	1.0
RGL2	1.0
IL3	0.32999999999999996
DUSP16	1.0
FGF21	0.5900000000000001
SESN2	1.0
PIM2	0.32999999999999996
CYP24A1	0.83
FAAP100	1.0
RRM1	0.9299999999999999
RYR2	0.45999999999999996
SNX2	1.0
WDR59	1.0
GP1BA	1.0
ERBB3	1.0
RRAGA	1.0
EXOC5	1.0
FHOD1	0.8
PLA2G4F	0.99
MGST1	0.99
CCP110	1.0
PLA2G2E	0.98
PLA2G2D	1.0
CDK7	0.56
PTGER2	0.32999999999999996
EXOC6	1.0
TLN1	0.69
ABCC1	0.8200000000000001
PRKG1	0.74
PLCB1	0.44999999999999996
HSPA2	0.6
DUSP8	1.0
RILP	1.0
PRDX6	0.6
ELK4	0.43000000000000005
SPC24	1.0
CREBBP	0.8200000000000001
CLDN1	1.0
MSH6	1.0
PARD6B	1.0
WIPF3	1.0
PAK6	0.87
OCRL	1.0
CASQ2	1.0
SPART	1.0
FANCM	0.84
STAM	0.9
ARF5	1.0
BRAP	1.0
MAPK8IP2	1.0
PLA2G2F	0.99
NTRK2	0.42000000000000004
POLI	1.0
ADORA1	0.72
NPAT	0.92
FGF3	0.18000000000000005
SPC25	1.0
NUF2	1.0
TKT	1.0
TPR	0.32999999999999996
NDC80	1.0
CAMK1D	0.75
WNT6	0.31999999999999995
PRR5	1.0
POLD2	0.99
CYTH4	0.79
PTH1R	0.79
PDE1C	0.88
NTHL1	1.0
MBD4	1.0
SETD2	1.0
PLA2G4B	0.97
PNPLA6	1.0
NUDT16L1	1.0
ORC1	0.69
DEK	0.78
MSH3	1.0
FGF6	0.63
LAMB2	0.25
CREB3L3	0.22999999999999998
BRCA2	0.89
POLD3	0.8
ARHGEF11	1.0
TRAF4	0.33999999999999997
PLD1	1.0
RRAGB	1.0
ERCC4	0.89
RAPGEF4	0.51
DGKG	0.83
STRADA	1.0
DCLRE1C	0.8200000000000001
PARD6G	1.0
AFDN	1.0
PDE3A	0.77
SGK3	0.42000000000000004
MGA	1.0
ARPC3	0.73
PTGER1	0.31000000000000005
FN1	0.42000000000000004
IL1RAP	0.65
CHMP6	1.0
RASA2	1.0
GADD45G	0.37
SH3KBP1	0.8200000000000001
DCC	0.38
THBS1	0.48
DET1	1.0
PGD	1.0
TIRAP	0.52
CCDC6	0.29000000000000004
PALB2	1.0
RAPGEF3	0.5
ULBP2	1.0
ARAP3	1.0
PNKP	1.0
