Gene	seed_specificity
SESN1	1.0
EGR2	0.5900000000000001
PLA2G2A	0.5
CDK7	0.56
ORC3	1.0
PPID	1.0
RYR2	0.45999999999999996
SSTR1	0.77
EVL	1.0
RAPGEF3	0.5
G6PC2	1.0
STAG2	1.0
MAPK8IP2	1.0
HLA-G	0.52
MYL12B	0.64
MLKL	1.0
LIN54	1.0
DUSP10	1.0
AHRR	1.0
FARP2	1.0
RBL2	0.6799999999999999
BRK1	0.6799999999999999
ORC1	0.69
NDUFB2	1.0
CXCL16	0.53
CSF2RA	0.41000000000000003
MFN2	0.6599999999999999
BRAP	1.0
TBC1D1	1.0
ADORA1	0.72
TLN1	0.69
SHC4	0.81
TFDP2	0.69
MYL7	0.9299999999999999
PTPN7	1.0
VPS41	1.0
DUSP8	1.0
LIN37	1.0
PTGER2	0.32999999999999996
IGF2BP1	0.8200000000000001
CCNB2	0.6699999999999999
CCNG1	1.0
MCM4	0.72
ORC4	1.0
C9orf72	1.0
MEFV	0.6699999999999999
DCC	0.38
PTTG2	0.8200000000000001
MYL12A	0.64
PLA2G5	0.71
PIK3C2A	0.6699999999999999
PLA2G4B	0.97
ERRFI1	0.72
USP7	0.61
RGL2	1.0
BUB3	1.0
SMC1B	1.0
DUSP5	1.0
FGF8	0.64
RAPGEF4	0.51
PPP1R12B	0.45999999999999996
FGF18	0.6
CSNK2B	0.52
ARPC5L	0.72
ORC6	1.0
DUSP2	0.53
ORC5	1.0
FGF5	0.63
MFN1	0.61
VEGFC	0.5700000000000001
ELK4	0.43000000000000005
IL1R2	0.45999999999999996
MCM6	0.72
LPIN1	0.65
GSDMD	0.64
PIK3IP1	0.64
WIPF3	1.0
DUSP16	1.0
STAG1	1.0
