Gene	seed_specificity
FHOD1	0.8
ATP1A3	1.0
APEX2	1.0
UBE2T	0.9299999999999999
SESN1	1.0
ERCC6	0.83
PROM1	1.0
DCLRE1C	0.8200000000000001
PLCB2	0.74
POLD3	0.8
FLT3	0.91
POLH	1.0
EME1	1.0
EIF3H	0.77
REV1	1.0
POLI	1.0
FGF21	0.5900000000000001
BCL10	0.9299999999999999
FANCG	0.84
MBD4	1.0
FGF18	0.6
GNGT1	0.38
CAPZB	1.0
KMT2A	0.89
IL1RAP	0.65
FGF6	0.63
RMI2	1.0
MTF2	0.9299999999999999
POLD2	0.99
FGF5	0.63
RAD52	0.84
NTHL1	1.0
PNKP	1.0
POLK	0.41000000000000003
RCAN1	0.5800000000000001
TGFA	0.64
MSH3	1.0
PLCB1	0.44999999999999996
TCF7L1	0.75
DDC	1.0
FAN1	1.0
PALB2	1.0
BCL2A1	0.86
CYP21A2	1.0
POLL	1.0
LIG4	1.0
TLE4	0.8
