Gene	seed_specificity
NPAT	0.92
LIN37	1.0
PTGER2	0.32999999999999996
SCARB1	0.81
SEC13	1.0
RRM2	0.9299999999999999
VDAC3	1.0
EEF2	0.79
NEFM	1.0
NXF2	1.0
TAP2	1.0
PPP1R12B	0.45999999999999996
NUP37	1.0
SIGMAR1	1.0
SEPTIN5	1.0
NUP54	1.0
NXT2	1.0
FGF18	0.6
TNFRSF13C	0.5700000000000001
C9orf72	1.0
BAK1	0.6599999999999999
RRM1	0.9299999999999999
CIR1	1.0
MFN2	0.6599999999999999
KIF5A	1.0
SNCAIP	0.61
TP53	1.0
FGF5	0.63
MFN1	0.61
CAPNS1	0.77
VEGFC	0.5700000000000001
CX3CL1	0.79
NUDT16L1	1.0
ERRFI1	0.72
ATG10	0.91
FZD9	0.8
TLN1	0.69
LIN54	1.0
MAP3K12	0.6
ATXN2	0.5800000000000001
TNIP1	1.0
MGA	1.0
