Gene	seed_specificity
PSMB1	0.5800000000000001
DUSP5	1.0
KIF5C	0.47
CXCL16	0.53
DUSP8	1.0
FGF8	0.64
RAPGEF4	0.51
NDUFS1	1.0
PSMD8	0.5700000000000001
TXK	0.74
EEF2	0.79
TAP2	1.0
NXF2	1.0
DEK	0.78
PPP1R12B	0.45999999999999996
PLA2G4D	1.0
ELK1	0.52
SEPTIN5	1.0
ADRM1	0.5800000000000001
NXT2	1.0
NRBF2	1.0
KLC3	1.0
ATG14	1.0
DUSP2	0.53
ACTN4	0.43999999999999995
WIPF3	1.0
CLDN2	0.6599999999999999
RAPGEF3	0.5
CAPNS1	0.77
MFN1	0.61
PLA2G4E	0.83
VEGFC	0.5700000000000001
MAPK8IP2	1.0
NUDT16L1	1.0
IL1R2	0.45999999999999996
KLC4	1.0
PLA2G4F	0.99
CALCOCO2	1.0
SOS2	0.49
TCF7L1	0.75
IL18RAP	0.5
DUSP10	1.0
CCN4	0.86
PTPN7	1.0
ATXN2	0.5800000000000001
PRM1	1.0
B2M	0.56
TNIP1	1.0
DUSP16	1.0
TNFRSF6B	0.63
