Gene	seed_specificity
TIRAP	0.52
ARHGEF11	1.0
PPP2R2A	0.87
TCF7L1	0.75
DECR1	0.99
LAMA1	1.0
MAP4K3	0.99
HES7	1.0
SGK3	0.42000000000000004
ARPC5	0.75
FHOD1	0.8
MYLK2	0.5800000000000001
TSC2	0.86
PDGFRA	0.47
PLA2G4D	1.0
NEFM	1.0
CSF2RA	0.41000000000000003
IRF9	0.4
DCC	0.38
BRK1	0.6799999999999999
CD1C	1.0
DUSP10	1.0
WNT6	0.31999999999999995
STRADA	1.0
CASP10	0.84
TAB3	0.89
MEFV	0.6699999999999999
B2M	0.56
PTTG2	0.8200000000000001
DUSP5	1.0
E2F5	0.94
IRAK4	1.0
TLR3	0.32999999999999996
MAPK7	0.72
KIF5C	0.47
MLKL	1.0
PGD	1.0
SV2C	1.0
MAPK8IP2	1.0
TPR	0.32999999999999996
PLA2G5	0.71
TBC1D1	1.0
PLCB1	0.44999999999999996
CREB3L3	0.22999999999999998
CSRP2	1.0
ACTG1	0.6599999999999999
ERRFI1	0.72
PTPN7	1.0
CIR1	1.0
RILP	1.0
EXOC7	0.78
GSTA1	0.99
FGF14	0.28
FGF3	0.18000000000000005
CD1A	1.0
THBS1	0.48
NCF2	0.84
WIPF3	1.0
CACNA1C	0.69
ACTN4	0.43999999999999995
NLRC4	0.8
PLA2G4B	0.97
RASGRP2	1.0
ATF4	0.8200000000000001
AHNAK	0.76
PPP2R5D	0.63
PTGER1	0.31000000000000005
RHOJ	1.0
MAP3K9	1.0
PGF	0.31999999999999995
GSTP1	0.31999999999999995
POLK	0.41000000000000003
EGLN3	0.31999999999999995
RPS6KA1	0.83
FGF12	0.28
IFNA1	0.22999999999999998
HEY2	0.47
EDNRB	0.33999999999999997
MSH2	0.31000000000000005
ELK1	0.52
PELI2	1.0
MAPK10	0.69
NR2F6	0.95
TXK	0.74
TRAF1	0.25
COL3A1	0.72
DUSP8	1.0
CAPZB	1.0
ESPL1	0.83
CTSL	0.76
TRAF5	0.5900000000000001
LLGL2	1.0
PIM2	0.32999999999999996
CHAC1	0.88
USP7	0.61
MAP3K12	0.6
FGF1	0.31999999999999995
PFN1	0.73
ARPC5L	0.72
FGF21	0.5900000000000001
SLC7A1	0.9299999999999999
IL1RAP	0.65
POU1F1	0.92
FGF5	0.63
TNFRSF13C	0.5700000000000001
GLUL	1.0
VEGFC	0.5700000000000001
ELK4	0.43000000000000005
ADCY3	0.63
TKT	1.0
GADD45G	0.37
TOLLIP	0.96
PARD6B	1.0
PPP1R12B	0.45999999999999996
SIK1	0.84
POU2F2	0.6799999999999999
FGF11	0.28
OCRL	1.0
DLL3	0.32999999999999996
EGR2	0.5900000000000001
CAB39	1.0
CAMK2B	0.71
IL3	0.32999999999999996
E2F2	0.5
SNIP1	1.0
IGFALS	0.8200000000000001
PARD6G	1.0
ARHGEF28	1.0
CLDN2	0.6599999999999999
NFKBIB	0.8200000000000001
TAP2	1.0
TRAF4	0.33999999999999997
PLA2G4F	0.99
GSDMD	0.64
LAMB4	0.96
SOS2	0.49
MAP2K4	1.0
TMOD3	1.0
PIK3C2A	0.6699999999999999
FGF17	0.18000000000000005
KLC4	1.0
TFCP2	0.6
ABL2	0.91
VDAC1	0.89
KLF6	0.84
MYL7	0.9299999999999999
MYL12B	0.64
IL1R2	0.45999999999999996
FGF6	0.63
VPS41	1.0
NR4A2	0.61
PAK5	0.6
PLA2G4E	0.83
ZBTB33	1.0
PIAS2	0.84
CCL4	0.75
HES5	0.25
HLA-G	0.52
JUNB	0.75
RBL1	0.6599999999999999
MGST1	0.99
FGF18	0.6
CYP2J2	1.0
PIK3IP1	0.64
CCDC6	0.29000000000000004
DUSP16	1.0
ADCY8	0.77
APC2	0.09999999999999998
GNGT1	0.38
PAK6	0.87
PTGER2	0.32999999999999996
KIF7	1.0
CASP7	0.9299999999999999
ARPC1A	0.83
FSCN1	1.0
VCL	0.78
NTRK2	0.42000000000000004
PARVB	1.0
RYR2	0.45999999999999996
NCOA4	0.32999999999999996
DSP	1.0
PELI3	1.0
FN1	0.42000000000000004
PLA2G2A	0.5
GSTA5	1.0
DUSP2	0.53
PATJ	1.0
RBL2	0.6799999999999999
SV2B	1.0
GH2	0.81
PRDX6	0.6
KLC3	1.0
CXCL5	0.81
SARM1	1.0
IKBKE	0.72
TBC1D4	0.69
LAMB2	0.25
TNC	0.95
MAML3	1.0
