Genes,Pathways
IFT140,WP4352;WP4532;WP4536;WP4803
IL12RB2,path:hsa04630;path:hsa05321;path:hsa04658;path:hsa05200;path:hsa04060;WP4494;WP4538
SOCS4,path:hsa04930;path:hsa04630;path:hsa04917;path:hsa04910;WP1584
CRACR2A,WP2877
TSC22D1,WP2858
VPS29,path:hsa04144
NDUFAF2,path:hsa04714
SQLE,path:hsa00100;WP197;WP1982;WP430;WP4718
RPS12,path:hsa05171;path:hsa03010;WP477
FUS,path:hsa05022;path:hsa05014;path:hsa03015;path:hsa03013;path:hsa03040;path:hsa05202;WP3584;WP411
RPP38,path:hsa03008;path:hsa03013;WP1984
LDHAL6B,path:hsa00620;path:hsa00010;path:hsa05230;path:hsa04066;path:hsa00640;path:hsa00270;path:hsa04922;WP534
ARPC4,path:hsa05100;path:hsa04666;path:hsa05132;path:hsa05135;path:hsa04530;path:hsa04810;path:hsa05131;path:hsa05130;path:hsa04144;WP2272
EXOSC10,path:hsa03018
KCNIP3,WP2032
PLCB1,path:hsa05022;path:hsa04750;path:hsa04611;path:hsa04929;path:hsa04928;path:hsa04927;path:hsa04926;path:hsa04925;path:hsa04921;path:hsa00562;path:hsa04726;path:hsa04728;path:hsa04724;path:hsa04933;path:hsa04934;path:hsa04935;path:hsa04911;path:hsa05415;path:hsa04730;path:hsa04918;path:hsa04062;path:hsa04912;path:hsa04971;path:hsa04310;path:hsa05010;path:hsa04973;path:hsa05146;path:hsa05016;path:hsa04540;path:hsa05143;path:hsa05017;path:hsa04720;path:hsa04713;path:hsa04922;path:hsa05417;path:hsa04071;path:hsa04613;path:hsa04261;path:hsa05142;path:hsa04961;path:hsa04621;path:hsa04371;path:hsa04915;path:hsa04270;path:hsa04020;path:hsa04924;path:hsa04015;path:hsa04970;path:hsa04972;path:hsa04070;path:hsa04072;path:hsa05131;path:hsa05200;path:hsa04916;path:hsa04022;path:hsa04725;path:hsa05163;path:hsa04742;path:hsa04919;path:hsa04723;WP1403;WP2032;WP2059;WP2197;WP26;WP3679;WP3958;WP3929;WP428;WP4341;WP4481;WP4540;WP4549;WP4871;WP4760;WP4962
SCHIP1,WP2857;WP2858
RAB9A,path:hsa05132;path:hsa05162;WP4217
EPAS1,path:hsa05211;path:hsa05200;WP236;WP3678;WP3932;WP4241
TRIO,WP2038;WP4561;WP4564;WP4565
MAGEA1,WP61
F2RL3,path:hsa04610;path:hsa04611;path:hsa04015;path:hsa05200;path:hsa04080;WP4538;WP455
FCN1,WP2806
NADK2,path:hsa00760
SNAI1,path:hsa04520;WP2064;WP2857;WP304;WP3859;WP4239;WP4767
PRKCE,path:hsa04750;path:hsa04925;path:hsa04666;path:hsa04930;path:hsa04931;path:hsa04933;path:hsa04530;path:hsa04071;path:hsa04371;path:hsa04270;path:hsa05131;path:hsa05206;path:hsa04022;WP1528;WP2374;WP289;WP35;WP3888;WP399;WP4341;WP4540;WP4659;WP4871;WP4787;WP536
IL17B,path:hsa04657;path:hsa04060;WP2112;WP2873;WP2882
IRF9,path:hsa05171;path:hsa04630;path:hsa04621;path:hsa04217;path:hsa04625;path:hsa05203;path:hsa05160;path:hsa04380;path:hsa05169;path:hsa05164;path:hsa05162;path:hsa05165;path:hsa05167;path:hsa05168;WP2113;WP4197;WP4558;WP4868;WP4880;WP4912;WP4963;WP585;WP619
C9,path:hsa04610;path:hsa05020;path:hsa05171;path:hsa05322;path:hsa05146;WP2328;WP2806;WP545;WP558
CNTNAP1,path:hsa04514
IL23R,path:hsa04630;path:hsa05321;path:hsa04659;path:hsa05200;path:hsa04060
ALDH1A1,path:hsa00830;WP1589;WP206;WP2855;WP3925;WP3996;WP465;WP716
CDH18,WP4540;WP4541
TNK1,WP306
CHST6,path:hsa00533;WP702
CD2BP2,WP411;WP4352
IL34,path:hsa04060;path:hsa04061
RPS4X,path:hsa05171;path:hsa03010;WP477
S1PR3,path:hsa04071;path:hsa04080;WP247;WP26
HTR2A,path:hsa04750;path:hsa04726;path:hsa04540;path:hsa04020;path:hsa04080;WP117;WP3947;WP3944;WP455;WP58;WP706;WP732;WP733
PSKH1,WP411
EPN2,path:hsa04144
ALDH5A1,path:hsa00250;path:hsa00650;WP4549
SRSF1,path:hsa03040;path:hsa04657;path:hsa05168;WP411
TAF1B,WP4312
DLK1,WP236;WP3845;WP4239
ERP29,path:hsa04141
SELENOS,path:hsa04141;WP15
IGF1,path:hsa04750;path:hsa04510;path:hsa04151;path:hsa05218;path:hsa04935;path:hsa04114;path:hsa05414;path:hsa04066;path:hsa05410;path:hsa04960;path:hsa04213;path:hsa04730;path:hsa04913;path:hsa04014;path:hsa05224;path:hsa04068;path:hsa05215;path:hsa04115;path:hsa04152;path:hsa04550;path:hsa05214;path:hsa04211;path:hsa04015;path:hsa04010;path:hsa05205;path:hsa05200;path:hsa05202;path:hsa04150;path:hsa04914;WP1544;WP1992;WP236;WP2406;WP254;WP2795;WP2848;WP306;WP4300;WP3584;WP3624;WP3850;WP3932;WP4172;WP4191;WP4262;WP474;WP4806;WP4808;WP615
XXYLT1,path:hsa00514
ANXA3,WP98
PIGH,path:hsa00563
PDHA2,path:hsa00020;path:hsa00620;path:hsa00010;path:hsa05230;path:hsa04066;path:hsa05415;path:hsa04922;WP528
PRICKLE3,path:hsa04310
UQCRH,path:hsa05020;path:hsa05022;path:hsa04932;path:hsa05415;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa04714;path:hsa00190;path:hsa04260;path:hsa05012;WP111;WP4396;WP4921
HIBCH,path:hsa00410;path:hsa00640;path:hsa00280;WP3925
FIG4,path:hsa05022;path:hsa00562;path:hsa05014;WP4856
SMAP1,path:hsa04144
SNRPD3,path:hsa05322;path:hsa03040;WP411
CLDN10,path:hsa04514;path:hsa04530;path:hsa05130;path:hsa05160;path:hsa04670;WP4239
CLEC10A,WP4217
FABP5,path:hsa03320;WP3942;WP5061
CD5,path:hsa04640;WP5072
BCL11A,WP3995
CAD,path:hsa00250;path:hsa00240;WP2197;WP3925;WP4022
MYB,path:hsa04151;WP2064;WP3297;WP3651;WP4172;WP706
CCNE2,path:hsa04151;path:hsa04934;path:hsa04110;path:hsa04114;path:hsa05222;path:hsa05226;path:hsa05215;path:hsa05166;path:hsa04115;path:hsa05206;path:hsa05200;path:hsa05203;path:hsa04218;path:hsa05169;path:hsa05161;path:hsa05162;path:hsa05165;WP179;WP1530;WP2371;WP2446;WP4172;WP4284;WP45;WP4658;WP707
SNRPA,path:hsa03040;WP411
MAPK15,path:hsa04657;WP4538
TAC4,path:hsa04080;WP24
WNT2,path:hsa05022;path:hsa04934;path:hsa05226;path:hsa05224;path:hsa04310;path:hsa05010;path:hsa04550;path:hsa05217;path:hsa05225;path:hsa04390;path:hsa05205;path:hsa05200;path:hsa04916;path:hsa04150;path:hsa05165;WP2848;WP3931;WP399;WP4150;WP4239;WP4258;WP4262;WP428;WP4336;WP4787;WP710
HTR1A,path:hsa04726;path:hsa04024;path:hsa04080;path:hsa04742;WP3947;WP3944;WP455;WP58;WP706
CDC40,path:hsa03040;WP411
CYFIP2,path:hsa05132;path:hsa03013;path:hsa04810;path:hsa05130;WP4549;WP51
ACVR2B,path:hsa04350;path:hsa04550;path:hsa05418;path:hsa04060;WP2857;WP3850
ATF6B,path:hsa05020;path:hsa04928;path:hsa04927;path:hsa04926;path:hsa04925;path:hsa04151;path:hsa05030;path:hsa05031;path:hsa05034;path:hsa04728;path:hsa04934;path:hsa04935;path:hsa04911;path:hsa04918;path:hsa04668;path:hsa05166;path:hsa04261;path:hsa04211;path:hsa04141;path:hsa04915;path:hsa05203;path:hsa04022;path:hsa05163;path:hsa05161;WP289;WP3932;WP4172;WP45;WP4666;WP4756
SYNGAP1,path:hsa04014;WP4223;WP4312;WP4539;WP4549;WP4875
CTNND1,path:hsa04520;path:hsa04015;path:hsa04670;WP3888;WP399
PHF10,path:hsa05225
NR2F1,WP170;WP236
EGFR,path:hsa05223;path:hsa05171;path:hsa04510;path:hsa04928;path:hsa04926;path:hsa04151;path:hsa04921;path:hsa05235;path:hsa05230;path:hsa05231;path:hsa04520;path:hsa05218;path:hsa04934;path:hsa05219;path:hsa04066;path:hsa04630;path:hsa04912;path:hsa05226;path:hsa04014;path:hsa05224;path:hsa04540;path:hsa04068;path:hsa05215;path:hsa04810;path:hsa05120;path:hsa05225;path:hsa05214;path:hsa04915;path:hsa04020;path:hsa04015;path:hsa04010;path:hsa04072;path:hsa05131;path:hsa05205;path:hsa05206;path:hsa05200;path:hsa05160;path:hsa04012;path:hsa04144;path:hsa05163;path:hsa05212;path:hsa05213;path:hsa05210;path:hsa05165;WP138;WP2261;WP2324;WP2363;WP2431;WP2586;WP2817;WP2828;WP2868;WP2873;WP2870;WP2882;WP306;WP4300;WP3303;WP3680;WP382;WP3853;WP3927;WP3931;WP3932;WP4018;WP4155;WP4172;WP4217;WP4223;WP4255;WP4262;WP4263;WP437;WP4483;WP4538;WP4540;WP4541;WP4657;WP4659;WP4674;WP4806;WP51;WP673
SUMO3,path:hsa03013;path:hsa05418;WP410
CD47,path:hsa04512;WP2431
IGFBP3,path:hsa04935;path:hsa04115;path:hsa05202;path:hsa04218;WP2877;WP289;WP3614;WP3888;WP4949;WP615
ZNF281,WP2857
ATP2B1,path:hsa04925;path:hsa04261;path:hsa04961;path:hsa04024;path:hsa04978;path:hsa04020;path:hsa04970;path:hsa04972;path:hsa04022;WP2877;WP4148;WP4698;WP536
GPD2,path:hsa00564;WP143
IL11RA,path:hsa04630;path:hsa04640;path:hsa04060;WP2332;WP4337;WP4538
LPAR6,path:hsa04151;path:hsa04072;path:hsa05200;path:hsa04080;WP3932;WP4172;WP455;WP4900;WP80
CD9,path:hsa04640;WP2877
AP1G1,path:hsa04142;path:hsa05170
TGFB1I1,WP138;WP1455;WP366;WP727
SERPINB2,path:hsa04610;WP272;WP2873;WP2882;WP4659;WP615
SF3B6,path:hsa03040
CYP4B1,WP299;WP43;WP702
CNGB1,path:hsa04024;path:hsa04022;path:hsa04740;path:hsa04744;WP4008;WP4803
RUBCN,path:hsa04140
ZNF419,path:hsa05168
ALCAM,path:hsa04514
NTRK2,path:hsa04151;path:hsa05034;path:hsa04014;path:hsa04020;path:hsa04010;path:hsa04722;WP2380;WP3676;WP382;WP3853;WP4172;WP4223;WP4539;WP4540;WP4541;WP4549;WP4561;WP4565;WP4829;WP706
NFIL3,WP395;WP3893
ULBP1,path:hsa04650;WP4963
BABAM2,path:hsa03440
XPOT,path:hsa03013
TFB2M,WP1541;WP391
IMMP1L,path:hsa03060
PIGO,path:hsa00563
ACBD3,path:hsa05132
URM1,path:hsa04122
MRC2,path:hsa04145;path:hsa05152
MMP10,WP129;WP3888
DEK,WP4754
IL6R,path:hsa05171;path:hsa04151;path:hsa04932;path:hsa04066;path:hsa04630;path:hsa04659;path:hsa04640;path:hsa05200;path:hsa04060;path:hsa04061;path:hsa05163;WP2848;WP364;WP3646;WP3932;WP4172;WP4337;WP4396;WP4538;WP4806;WP5063;WP615;WP706
FAAH,path:hsa04723;WP3869
HAO2,path:hsa04146;path:hsa00630
HUWE1,path:hsa04120
RPS27A,path:hsa05022;path:hsa05171;path:hsa04120;path:hsa03010;path:hsa04137;path:hsa05131;path:hsa05012;path:hsa05167;WP477
CSGALNACT2,path:hsa00532
