Interactor 1,Interactor 2,is_directed,BIOGRID,pathway,complex,Confidence
RNF14,AR,-1.0,True,True,False,0.988
RNF10,MEOX2,1.0,True,False,False,0.75
RNF11,UBE2N,0.0,True,False,True,0.86
RNF11,NEDD4,0.0,True,False,True,0.96
RNF11,ITCH,1.0,True,False,True,0.89
RNF11,RIPK1,-1.0,True,False,True,0.72
RNF11,STAM2,0.0,True,False,True,0.85
FHIT,CTNNB1,-1.0,True,True,False,0.793
DISC1,IFT20,0.0,True,False,True,0.87
DISC1,EIF3H,0.0,True,False,True,0.89
DISC1,PAFAH1B1,1.0,True,False,False,0.993
DISC1,AKAP9,0.0,True,False,True,0.89
DISC1,XRN2,0.0,True,False,True,0.89
DISC1,SNX6,0.0,True,False,True,0.87
DISC1,MATR3,0.0,True,False,True,0.89
DISC1,TNKS2,0.0,True,False,True,0.89
DISC1,HERC2,0.0,True,False,True,0.87
DISC1,PDE4B,0.0,True,False,True,0.87
DISC1,NDE1,0.0,True,False,True,0.89
DISC1,NDEL1,1.0,True,False,False,0.97
CAMK1,CAMKK1,1.0,True,True,False,0.947
CAMK1,ATF1,1.0,False,True,False,0.72
RNF111,SMAD2,1.0,True,True,False,0.935
RNF111,SMAD3,1.0,True,True,False,0.944
RNF111,SKI,-1.0,True,True,False,0.904
RNF111,SMAD7,1.0,True,True,False,0.999
RNF111,SKIL,-1.0,True,True,False,0.961
DHX8,CHERP,0.0,True,True,True,0.88
DHX8,SRPK1,0.0,True,True,True,0.89
DHX8,SRPK2,0.0,True,True,False,0.89
DHX8,SNW1,0.0,True,True,True,0.96
DHX8,ISY1,0.0,True,True,True,0.87
DHX9,BRCA1,0.0,True,True,True,0.9
DHX9,WRN,0.0,True,True,True,0.84
DHX9,JUN,0.0,True,True,True,0.86
DHX9,NXF1,0.0,True,True,True,0.9
DHX9,STAU1,0.0,True,False,True,0.85
DHX9,NOP56,0.0,True,True,True,0.87
DHX9,CUL4B,0.0,True,True,True,0.86
DHX9,ILF3,0.0,True,False,True,0.89
DHX9,ILF2,0.0,True,True,True,0.87
NUP98,NUP88,0.0,True,True,True,0.9
NUP98,NFX1,0.0,True,True,False,0.87
NUP98,NXF1,1.0,True,True,True,0.89
NUP98,KPNB1,1.0,True,True,True,0.996
NUP98,TNPO1,0.0,True,True,True,0.88
NUP98,TPR,0.0,True,True,True,0.88
XPC,CETN2,0.0,True,True,True,0.9
XPC,DDB1,1.0,True,True,True,0.63
SP1,HDAC1,0.0,True,True,True,0.9
SP1,TBX21,1.0,True,True,False,0.76
SP1,JUN,0.0,True,True,True,0.89
SP1,RARA,1.0,True,True,True,0.89
SP1,HDAC2,0.0,True,True,True,0.88
SP1,MYC,1.0,True,True,True,0.89
SP1,BRCA1,0.0,True,True,True,0.87
SP1,CDKN2A,1.0,True,True,True,0.741
SP1,SP3,1.0,True,True,True,0.81
SP1,SMAD3,0.0,True,True,True,0.89
SP1,CCND1,1.0,True,True,True,0.65
SP1,RBBP4,0.0,True,True,True,0.85
SP1,AHR,-1.0,True,True,True,0.75
SP1,RNF4,0.0,True,True,False,0.86
SP1,RELA,1.0,True,True,True,0.997
SP1,CRX,1.0,True,True,True,0.63
SP1,HIF1A,0.0,True,True,True,0.89
SP1,MYCN,1.0,True,True,True,0.85
SP1,EGR1,1.0,True,True,True,0.84
SP1,SKP2,1.0,True,True,True,0.63
SP1,TAF7,1.0,False,True,True,0.58
SP1,TP53,1.0,True,True,True,0.999
SP1,ESR1,0.0,True,True,True,0.87
SP1,HNF4A,1.0,True,True,True,0.81
SP1,HTT,1.0,True,True,True,0.993
SP1,YY1,1.0,True,True,True,0.913
SP1,HDAC4,1.0,True,True,True,0.73
SP1,SMAD4,1.0,True,True,True,0.89
SP1,STAT3,0.0,True,True,True,0.85
SP1,PML,0.0,True,True,True,0.9
SP1,NFKB1,1.0,True,True,True,0.88
SP1,RXRA,0.0,True,True,True,0.89
SP1,HMGA1,0.0,True,True,False,0.89
SP1,EP300,0.0,True,True,True,0.88
SP1,CDK1,1.0,True,True,True,0.77
SP1,CDK2,-1.0,True,True,True,0.52
SP1,SREBF1,1.0,True,True,True,0.909
SP1,TAL1,1.0,True,True,True,0.79
SP1,CEBPB,0.0,True,True,True,0.84
SP1,KLF10,0.0,True,True,True,0.87
SP1,HCFC1,0.0,True,True,True,0.9
SP1,RB1,1.0,True,True,True,0.995
SP1,KLF6,0.0,True,True,False,0.96
SP1,KLF4,0.0,True,True,False,0.89
SP1,PGR,1.0,True,True,False,0.5892287
SP1,NOS3,1.0,False,True,True,0.55
SP1,AR,1.0,True,True,True,0.974
SP1,CCNB1,-1.0,True,True,True,0.75
SP1,E2F1,1.0,True,True,True,0.96
XPA,ERCC1,1.0,True,True,True,0.97
XPA,ERCC4,1.0,True,True,True,0.997
XPA,ERCC6,0.0,True,True,True,0.87
XPA,DDB2,1.0,True,True,True,0.71
XPA,GTF2H1,1.0,True,True,True,0.956
XPA,RPA1,1.0,True,True,True,0.994
XPA,RPA2,1.0,True,True,True,0.997
SP3,HDAC1,0.0,True,True,True,0.85
SP3,HDAC2,0.0,True,True,True,0.84
SP3,ESR1,0.0,True,True,True,0.89
SP3,RBBP4,0.0,True,True,True,0.84
NUP93,MYC,0.0,True,True,True,0.89
NUP93,NXF1,1.0,True,True,True,0.63
OPA1,MYC,0.0,True,True,True,0.86
NSL1,BUB1,0.0,True,False,True,0.84
NSL1,CBX3,0.0,True,False,True,0.89
NSL1,DSN1,0.0,True,False,True,0.9
NSL1,ZWINT,0.0,True,False,True,0.87
NSL1,MIS12,0.0,True,False,True,0.9
NSL1,CBX5,0.0,True,False,True,0.9
NSL1,NDC80,0.0,True,False,True,0.87
ITGA1,PTPN2,1.0,False,True,True,0.983
ITGA4,PTK2,1.0,True,True,True,0.946
ITGA4,PRKAR1A,1.0,False,True,False,0.919
ITGA4,VCAM1,1.0,True,True,True,0.999
ITGA4,PRKACA,1.0,False,True,True,0.919
TIPRL,IGBP1,0.0,True,True,False,0.93
TIPRL,PPP2CA,-1.0,True,True,False,0.999
GRP,GRPR,1.0,True,True,False,0.62
